maskedcardno,cardno,blp_cardno
JJ<(XJJJJJJC0JCX,1168011111172170,1168 0111 1117 2170
JJ<(XJJJ0(CX0(<X,1168011128702860,1168 0111 2870 2860
JJ<(XJJX(VC<CJ($,1168011089767183,1168 0110 8976 7183
JJ<(XJJJXP0V<((<,1168011105296886,1168 0111 0529 6886
JJ<(XJJX<JV$CJC<,1168011061937176,1168 0110 6193 7176
JJ<(XJJJJ'P'X<CX,1168011114540670,1168 0111 1454 0670
JJ<(XJJX<'0XXP(X,1168011064200580,1168 0110 6420 0580
JJ<(XJJJ0XPPJ0PC,1168011120551257,1168 0111 2055 1257
JJ<(XJJXV<0J0'$V,1168011096212439,1168 0110 9621 2439
JJ<(XJJJ000C0'(X,1168011122272480,1168 0111 2227 2480
JJ<(XJJJX'C$0JV<,1168011104732196,1168 0111 0473 2196
JJ<(XJJJ$'J'0<X<,1168011134142606,1168 0111 3414 2606
JJ<(XJJXP$CJJCX',1168011053711704,1168 0110 5371 1704
JJ<(XJJJJXCVPXXP,1168011110795005,1168 0111 1079 5005
JJ<(XJJXV$X'0'<<,1168011093042466,1168 0110 9304 2466
JJ<(XJJJ0000X<'<,1168011122220646,1168 0111 2222 0646
JJ<(XJJX<C0C'((V,1168011067274889,1168 0110 6727 4889
JJ<(XJJJ00<X0V$',1168011122602934,1168 0111 2260 2934
JJ<(XJJJ$J((J$V<,1168011131881396,1168 0111 3188 1396
JJ<(XJJX0XXX(C'C,1168011020008747,1168 0110 2000 8747
JJ<(XJJX(C<J$J(J,1168011087613181,1168 0110 8761 3181
JJ<(XJJJJ$CP0V$(,1168011113752938,1168 0111 1375 2938
JJ<(XJJXPCCC(J((,1168011057778188,1168 0110 5777 8188
JJ<(XJJJ0(CC<'(',1168011128776484,1168 0111 2877 6484
JJ<(XJJJ$'J'V<JV,1168011134149619,1168 0111 3414 9619
JJ<(XJJX(''($'PP,1168011084483455,1168 0110 8448 3455
JJ<(XJJJJJJCC$0(,1168011111177328,1168 0111 1117 7328
JJ<(XJJX(<'XP$0',1168011086405324,1168 0110 8640 5324
JJ<(XJJX<CX(C0PC,1168011067087257,1168 0110 6708 7257
JJ<(XJJXP(J0CPXX,1168011058127500,1168 0110 5812 7500
JJ<(XJJXC''VVVC',1168011074499974,1168 0110 7449 9974
JJ<(XJJXVXCJJ$<X,1168011090711360,1168 0110 9071 1360
JJ<(XJJX(XV0VJXP,1168011080929105,1168 0110 8092 9105
JJ<(XJJJ0X<(<0CC,1168011120686277,1168 0111 2068 6277
JJ<(XJJJ$'VJ('JV,1168011134918419,1168 0111 3491 8419
JJ<(XJJJJ'C'V'$(,1168011114749438,1168 0111 1474 9438
JJ<(XJJXV(C(XC00,1168011098780722,1168 0110 9878 0722
JJ<(XJJXCXXJ(00',1168011070018224,1168 0110 7001 8224
JJ<(XJJXP(XJXX0V,1168011058010029,1168 0110 5801 0029
JJ<(XJJJJJ0V0V(<,1168011111292986,1168 0111 1129 2986
JJ<(XJJJ$'J'X((J,1168011134140881,1168 0111 3414 0881
JJ<(XJJXJVCXXC$',1168011019700734,1168 0110 1970 0734
JJ<(XJJX'(('(V$',1168011048848934,1168 0110 4884 8934
JJ<(XJJJJ$V<CXJP,1168011113967015,1168 0111 1396 7015
JJ<(XJJJJ'X<C'C<,1168011114067476,1168 0111 1406 7476
JJ<(XJJJ0(XVV(CV,1168011128099879,1168 0111 2809 9879
JJ<(XJJJX(PX(V$J,1168011108508931,1168 0111 0850 8931
JJ<(XJJX'V<($<'P,1168011049683645,1168 0110 4968 3645
JJ<(XJJJJJ(JX$<P,1168011111810365,1168 0111 1181 0365
JJ<(XJJX<'P<'C$(,1168011064564738,1168 0110 6456 4738
JJ<(XJJJXC$<CV'J,1168011107367941,1168 0111 0736 7941
JJ<(XJJX<'0'<'JV,1168011064246419,1168 0110 6424 6419
JJ<(XJJJJ'J($CC(,1168011114183778,1168 0111 1418 3778
JJ<(XJJXP($CX<'C,1168011058370647,1168 0110 5837 0647
JJ<(XJJX<J0$X'VV,1168011061230499,1168 0110 6123 0499
JJ<(XJJXC0PC0'CP,1168011072572475,1168 0110 7257 2475
JJ<(XJJXVV<PPX$X,1168011099655030,1168 0110 9965 5030
JJ<(XJJJ0($JX<0$,1168011128310623,1168 0111 2831 0623
JJ<(XJJJ00X'PCX',1168011122045704,1168 0111 2204 5704
JJ<(XJJX$'<(<X(0,1168011034686082,1168 0110 3468 6082
JJ<(XJJX<C00J(C0,1168011067221872,1168 0110 6722 1872
JJ<(XJJJJJ'$VXP(,1168011111439058,1168 0111 1143 9058
JJ<(XJJJX'000$J$,1168011104222313,1168 0111 0422 2313
JJ<(XJJJ$J$<J<((,1168011131361688,1168 0111 3136 1688
JJ<(XJJJ0($X<0$$,1168011128306233,1168 0111 2830 6233
JJ<(XJJJJJ'0C$V0,1168011111427392,1168 0111 1142 7392
JJ<(XJJJ0(P(J0C0,1168011128581272,1168 0111 2858 1272
JJ<(XJJX<J<V(JVX,1168011061698190,1168 0110 6169 8190
JJ<(XJJX<CJX<CC<,1168011067106776,1168 0110 6710 6776
JJ<(XJJXVV(<0V<<,1168011099862966,1168 0110 9986 2966
JJ<(XJJJ0P'P$J0V,1168011125453129,1168 0111 2545 3129
JJ<(XJJXVVVP0'(<,1168011099952486,1168 0110 9995 2486
JJ<(XJJXP(V0<<CV,1168011058926679,1168 0110 5892 6679
JJ<(XJJXV(<0C<0<,1168011098627626,1168 0110 9862 7626
JJ<(XJJJ$J'JC<'C,1168011131417647,1168 0111 3141 7647
JJ<(XJJX$'$V$JC<,1168011034393176,1168 0110 3439 3176
JJ<(XJJX<'<C0V<X,1168011064672960,1168 0110 6467 2960
JJ<(XJJX<'P('0V(,1168011064584298,1168 0110 6458 4298
JJ<(XJJXV<0(VP<V,1168011096289569,1168 0110 9628 9569
JJ<(XJJJJ'CPJ<VV,1168011114751699,1168 0111 1475 1699
JJ<(XJJX$(0XC<(C,1168011038207687,1168 0110 3820 7687
JJ<(XJJXVPJX'0<',1168011095104264,1168 0110 9510 4264
JJ<(XJJX'PPJP0$V,1168011045515239,1168 0110 4551 5239
JJ<(XJJJXP00P<J0,1168011105225612,1168 0111 0522 5612
JJ<(XJJX<VV$'<J$,1168011069934613,1168 0110 6993 4613
JJ<(XJJXVV'<CXCJ,1168011099467071,1168 0110 9946 7071
JJ<(XJJX<CJVP$C$,1168011067195373,1168 0110 6719 5373
JJ<(XJJXV0P<VX'(,1168011092569048,1168 0110 9256 9048
JJ<(XJJJJ<'XV$<J,1168011116409361,1168 0111 1640 9361
JJ<(XJJJJ'(CVP0',1168011114879524,1168 0111 1487 9524
JJ<(XJJXPC$C'J$C,1168011057374137,1168 0110 5737 4137
JJ<(XJJJ$C(<'<JX,1168011137864610,1168 0111 3786 4610
JJ<(XJJJJ'(0<XJ0,1168011114826012,1168 0111 1482 6012
JJ<(XJJJJJ0XCP'C,1168011111207547,1168 0111 1120 7547
JJ<(XJJJ0XJ$X'$$,1168011120130433,1168 0111 2013 0433
JJ<(XJJJXP(XC$'',1168011105807344,1168 0111 0580 7344
JJ<(XJJX'(XPV'P(,1168011048059458,1168 0110 4805 9458
JJ<(XJJJX'$C$''C,1168011104373447,1168 0111 0437 3447
JJ<(XJJXV<'0P''P,1168011096425445,1168 0110 9642 5445
JJ<(XJJJX('0JCP',1168011108421754,1168 0111 0842 1754
JJ<(XJJXVVP0CX$J,1168011099527031,1168 0110 9952 7031
JJ<(XJJJJJP0'C0C,1168011111524727,1168 0111 1152 4727
JJ<(XJJXPPC(P<$J,1168011055785631,1168 0110 5578 5631
JJ<(XJJJ0X0('(VJ,1168011120284891,1168 0111 2028 4891
JJ<(XJJX(X($$C(<,1168011080833786,1168 0110 8083 3786
JJ<(XJJJ00PX0V0(,1168011122502928,1168 0111 2250 2928
JJ<(XJJXCPV'V0JC,1168011075949217,1168 0110 7594 9217
JJ<(XJJJJJ00<XXX,1168011111226000,1168 0111 1122 6000
JJ<(XJJX('J<C<X$,1168011084167603,1168 0110 8416 7603
JJ<(XJJXVV0CJV'P,1168011099271945,1168 0110 9927 1945
JJ<(XJJJJ'<P'C'P,1168011114654745,1168 0111 1465 4745
JJ<(XJJX(C'(V0X0,1168011087489202,1168 0110 8748 9202
JJ<(XJJJX0X(<$J',1168011102086314,1168 0111 0208 6314
JJ<(XJJJJ'JVX0P0,1168011114190252,1168 0111 1419 0252
JJ<(XJJJ$CXCJJ<<,1168011137071166,1168 0111 3707 1166
JJ<(XJJXPP0<'XJC,1168011055264017,1168 0110 5526 4017
JJ<(XJJXCP'$VXX$,1168011075439003,1168 0110 7543 9003
JJ<(XJJJJ'JJ<$(X,1168011114116380,1168 0111 1411 6380
JJ<(XJJXV(C$P0P',1168011098735254,1168 0110 9873 5254
JJ<(XJJXVV<X(JX',1168011099608104,1168 0110 9960 8104
JJ<(XJJXV<$PC'C$,1168011096357473,1168 0110 9635 7473
JJ<(XJJJ$'0$00P(,1168011134232258,1168 0111 3423 2258
JJ<(XJJJ$'CV'(X0,1168011134794802,1168 0111 3479 4802
JJ<(XJJXCXJJ((XX,1168011070118800,1168 0110 7011 8800
JJ<(XJJX<C(<<VJ<,1168011067866916,1168 0110 6786 6916
JJ<(XJJXV(''XV<0,1168011098440962,1168 0110 9844 0962
JJ<(XJJXJJ'C'J<$,1168011011474163,1168 0110 1147 4163
JJ<(XJJJ0($0<C<V,1168011128326769,1168 0111 2832 6769
JJ<(XJJJ'X$(PP(C,1168011140385587,1168 0111 4038 5587
JJ<(XJJJJ$$P0(P$,1168011113352853,1168 0111 1335 2853
JJ<(XJJJXC$(P($<,1168011107385836,1168 0111 0738 5836
JJ<(XJJX('$($0<C,1168011084383267,1168 0110 8438 3267
JJ<(XJJX<XPV(XV',1168011060598094,1168 0110 6059 8094
JJ<(XJJXJPX00'<$,1168011015022463,1168 0110 1502 2463
JJ<(XJJJJJ$(V$0V,1168011111389329,1168 0111 1138 9329
JJ<(XJJJJ'PJC(C<,1168011114517876,1168 0111 1451 7876
JJ<(XJJXPPV<<JPC,1168011055966157,1168 0110 5596 6157
JJ<(XJJJ0($PCPXV,1168011128357509,1168 0111 2835 7509
JJ<(XJJJJC0X0X0J,1168011117202021,1168 0111 1720 2021
JJ<(XJJX$$X(0(J0,1168011033082812,1168 0110 3308 2812
JJ<(XJJJJCX0XJXX,1168011117020100,1168 0111 1702 0100
JJ<(XJJJJX'0$XCV,1168011110423079,1168 0111 1042 3079
JJ<(XJJX$V<(<'XX,1168011039686400,1168 0110 3968 6400
JJ<(XJJX(VCVXJ0(,1168011089790128,1168 0110 8979 0128
JJ<(XJJJ$C0V0'J<,1168011137292416,1168 0111 3729 2416
JJ<(XJJJ00X0X<$0,1168011122020632,1168 0111 2202 0632
JJ<(XJJXVV('X(J',1168011099840814,1168 0110 9984 0814
JJ<(XJJJ0PP($$CX,1168011125583370,1168 0111 2558 3370
JJ<(XJJX$C<XXC($,1168011037600783,1168 0110 3760 0783
JJ<(XJJX0X(C'0$V,1168011020874239,1168 0110 2087 4239
JJ<(XJJJ$JCVXJCP,1168011131790175,1168 0111 3179 0175
JJ<(XJJJ$'J0V'((,1168011134129488,1168 0111 3412 9488
JJ<(XJJXVV(V<$0V,1168011099896329,1168 0110 9989 6329
JJ<(XJJX$$0PPVCX,1168011033255970,1168 0110 3325 5970
JJ<(XJJJX0CJVJ$(,1168011102719138,1168 0111 0271 9138
JJ<(XJJJ0P<JJ($$,1168011125611833,1168 0111 2561 1833
JJ<(XJJJJ'<CXXX<,1168011114670006,1168 0111 1467 0006
JJ<(XJJJX(CJ(J<C,1168011108718167,1168 0111 0871 8167
JJ<(XJJJXJXP0(P$,1168011101052853,1168 0111 0105 2853
JJ<(XJJJXJ$V'X0',1168011101394024,1168 0111 0139 4024
JJ<(XJJXVVXJX<0',1168011099010624,1168 0110 9901 0624
JJ<(XJJX<JV<''CC,1168011061964477,1168 0110 6196 4477
JJ<(XJJJ$'CJV'<X,1168011134719460,1168 0111 3471 9460
JJ<(XJJJJXJCX'$J,1168011110170431,1168 0111 1017 0431
JJ<(XJJJXCJ<$J$',1168011107163134,1168 0111 0716 3134
JJ<(XJJXPXXP($XC,1168011050058307,1168 0110 5005 8307
JJ<(XJJX$'$$'V$J,1168011034334931,1168 0110 3433 4931
JJ<(XJJXCP'J(J<$,1168011075418163,1168 0110 7541 8163
JJ<(XJJJJX<J(V0<,1168011110618926,1168 0111 1061 8926
JJ<(XJJXP0CC$PC0,1168011052773572,1168 0110 5277 3572
JJ<(XJJJXPJ'VC$V,1168011105149739,1168 0111 0514 9739
JJ<(XJJJJVV(X'<C,1168011119980467,1168 0111 1998 0467
JJ<(XJJJJ<'$VCJP,1168011116439715,1168 0111 1643 9715
JJ<(XJJX0$X0''(P,1168011023024485,1168 0110 2302 4485
JJ<(XJJX<CV(JPP(,1168011067981558,1168 0110 6798 1558
JJ<(XJJX('PJ(JJX,1168011084518110,1168 0110 8451 8110
JJ<(XJJX'CV<(PC<,1168011047968576,1168 0110 4796 8576
JJ<(XJJXJ(CJ'(<(,1168011018714868,1168 0110 1871 4868
JJ<(XJJJJ<0J0<<<,1168011116212666,1168 0111 1621 2666
JJ<(XJJJJ'$'0<$X,1168011114342630,1168 0111 1434 2630
JJ<(XJJX<C(<<<PX,1168011067866650,1168 0110 6786 6650
JJ<(XJJJ0(VCC<V',1168011128977694,1168 0111 2897 7694
JJ<(XJJX(XCP0C0J,1168011080752721,1168 0110 8075 2721
JJ<(XJJJXJJ00'$$,1168011101122433,1168 0111 0112 2433
JJ<(XJJJJ'CVJ(V$,1168011114791893,1168 0111 1479 1893
JJ<(XJJXV$$$VX0V,1168011093339029,1168 0110 9333 9029
JJ<(XJJX<'(J(JVJ,1168011064818191,1168 0110 6481 8191
JJ<(XJJX<J0(000C,1168011061282227,1168 0110 6128 2227
JJ<(XJJJX(CXJVVV,1168011108701999,1168 0111 0870 1999
JJ<(XJJX$VXVPXVV,1168011039095099,1168 0110 3909 5099
JJ<(XJJXV<'<<PPP,1168011096466555,1168 0110 9646 6555
JJ<(XJJX($(<XPCX,1168011083860570,1168 0110 8386 0570
JJ<(XJJJJXP(CV<',1168011110587964,1168 0111 1058 7964
JJ<(XJJJ$C$C'VC',1168011137374974,1168 0111 3737 4974
JJ<(XJJJJC0CPP(V,1168011117275589,1168 0111 1727 5589
JJ<(XJJXPPV0<<V(,1168011055926698,1168 0110 5592 6698
JJ<(XJJJJ$XC'$P(,1168011113074358,1168 0111 1307 4358
JJ<(XJJXV(C<P<0',1168011098765624,1168 0110 9876 5624
JJ<(XJJX<P'CVVV$,1168011065479993,1168 0110 6547 9993
JJ<(XJJJJ'JVVCP(,1168011114199758,1168 0111 1419 9758
JJ<(XJJJJ'0<J<'X,1168011114261640,1168 0111 1426 1640
JJ<(XJJXV<0$<CV0,1168011096236792,1168 0110 9623 6792
JJ<(XJJJ$'PJ'PP<,1168011134514556,1168 0111 3451 4556
JJ<(XJJX(CC'VPX<,1168011087749506,1168 0110 8774 9506
JJ<(XJJXP<P'XP00,1168011056540522,1168 0110 5654 0522
JJ<(XJJX'C'J$$'0,1168011047413342,1168 0110 4741 3342
JJ<(XJJXV$(PP0VC,1168011093855297,1168 0110 9385 5297
JJ<(XJJJJJX$0P$J,1168011111032531,1168 0111 1103 2531
JJ<(XJJX<PPP(0'0,1168011065558242,1168 0110 6555 8242
JJ<(XJJX(X(PP'0P,1168011080855425,1168 0110 8085 5425
JJ<(XJJXVV$PPX$C,1168011099355037,1168 0110 9935 5037
JJ<(XJJJJJX(XC$(,1168011111080738,1168 0111 1108 0738
JJ<(XJJJ'XC0PJ<0,1168011140725162,1168 0111 4072 5162
JJ<(XJJX<CJPJC$J,1168011067151731,1168 0110 6715 1731
JJ<(XJJXCPXXPP0$,1168011075005523,1168 0110 7500 5523
JJ<(XJJJJ'C$CXJJ,1168011114737011,1168 0111 1473 7011
JJ<(XJJJX($C0<V0,1168011108372692,1168 0111 0837 2692
JJ<(XJJJJJPVX$X<,1168011111590306,1168 0111 1159 0306
JJ<(XJJXCJV$$(XJ,1168011071933801,1168 0110 7193 3801
JJ<(XJJJ$''P$(0J,1168011134453821,1168 0111 3445 3821
JJ<(XJJX$PJ0J<J(,1168011035121618,1168 0110 3512 1618
JJ<(XJJX(JJ'C$'$,1168011081147343,1168 0110 8114 7343
JJ<(XJJXCXVJ(J($,1168011070918183,1168 0110 7091 8183
JJ<(XJJJJ$'<(<$',1168011113468634,1168 0111 1346 8634
JJ<(XJJX<'0$JC'0,1168011064231742,1168 0110 6423 1742
JJ<(XJJX('X<$JXV,1168011084063109,1168 0110 8406 3109
JJ<(XJJJJ'$VX0'J,1168011114390241,1168 0111 1439 0241
JJ<(XJJXPV<$$0(0,1168011059633282,1168 0110 5963 3282
JJ<(XJJX('PJ(P0',1168011084518524,1168 0110 8451 8524
JJ<(XJJJ0(P0$X$P,1168011128523035,1168 0111 2852 3035
JJ<(XJJJJ$VP<0X(,1168011113956208,1168 0111 1395 6208
JJ<(XJJJ0P0V<V<P,1168011125296965,1168 0111 2529 6965
JJ<(XJJJX''VC<CP,1168011104497675,1168 0111 0449 7675
JJ<(XJJXVV<P<X<J,1168011099656061,1168 0110 9965 6061
JJ<(XJJXC0PC0XJ0,1168011072572012,1168 0110 7257 2012
JJ<(XJJJJXV0PJ$J,1168011110925131,1168 0111 1092 5131
JJ<(XJJJ0PC<(<C',1168011125768674,1168 0111 2576 8674
JJ<(XJJJ'XP$(V'<,1168011140538946,1168 0111 4053 8946
JJ<(XJJX<CP<($X<,1168011067568306,1168 0110 6756 8306
JJ<(XJJJJ'<0J0(X,1168011114621280,1168 0111 1462 1280
JJ<(XJJX(J($VJCX,1168011081839170,1168 0110 8183 9170
JJ<(XJJJJ$V''$0V,1168011113944329,1168 0111 1394 4329
JJ<(XJJX<CC$'0J$,1168011067734213,1168 0110 6773 4213
JJ<(XJJJ0XJVC(J0,1168011120197812,1168 0111 2019 7812
JJ<(XJJXVVCX(XX$,1168011099708003,1168 0110 9970 8003
JJ<(XJJX'VXC$VJ0,1168011049073912,1168 0110 4907 3912
JJ<(XJJXV$JX$$VJ,1168011093103391,1168 0110 9310 3391
JJ<(XJJXP(<X$J$(,1168011058603138,1168 0110 5860 3138
JJ<(XJJX'$V$(0V0,1168011043938292,1168 0110 4393 8292
JJ<(XJJJJ$(00C(X,1168011113822780,1168 0111 1382 2780
JJ<(XJJJXP<<C<P<,1168011105667656,1168 0111 0566 7656
JJ<(XJJX<CJV(0V',1168011067198294,1168 0110 6719 8294
JJ<(XJJX$<$V<JV$,1168011036396193,1168 0110 3639 6193
JJ<(XJJJJ'CP0JPX,1168011114752150,1168 0111 1475 2150
JJ<(XJJXCCXJ(V0X,1168011077018920,1168 0110 7701 8920
JJ<(XJJJ$J<V0X<<,1168011131692066,1168 0111 3169 2066
JJ<(XJJJ0(J<$0X',1168011128163204,1168 0111 2816 3204
JJ<(XJJJX0$'<0<0,1168011102346262,1168 0111 0234 6262
JJ<(XJJXP'(X(<$0,1168011054808632,1168 0110 5480 8632
JJ<(XJJJX(C'<'J<,1168011108746416,1168 0111 0874 6416
JJ<(XJJXVPP(J<'',1168011095581644,1168 0110 9558 1644
JJ<(XJJJ$'J$VX$0,1168011134139032,1168 0111 3413 9032
JJ<(XJJJJCX$VPCJ,1168011117039571,1168 0111 1703 9571
JJ<(XJJJJ<PJ<C'',1168011116516744,1168 0111 1651 6744
JJ<(XJJX00J0($P0,1168011022128352,1168 0110 2212 8352
JJ<(XJJXVVCV0'C(,1168011099792478,1168 0110 9979 2478
JJ<(XJJJJJ0$PJCP,1168011111235175,1168 0111 1123 5175
JJ<(XJJXC(X0CPX(,1168011078027508,1168 0110 7802 7508
JJ<(XJJX<JX($<0P,1168011061083625,1168 0110 6108 3625
JJ<(XJJJ0(V(X(CX,1168011128980870,1168 0111 2898 0870
JJ<(XJJJJJ0'0<XJ,1168011111242601,1168 0111 1124 2601
JJ<(XJJJ00JC0V'<,1168011122172946,1168 0111 2217 2946
JJ<(XJJJXP<VV0CV,1168011105699279,1168 0111 0569 9279
JJ<(XJJJ'XX'(JX0,1168011140048102,1168 0111 4004 8102
JJ<(XJJXC((0CPXJ,1168011078827501,1168 0110 7882 7501
JJ<(XJJJJ$VP'P($,1168011113954583,1168 0111 1395 4583
JJ<(XJJJX0XXXC(<,1168011102000786,1168 0111 0200 0786
JJ<(XJJXVV$(0'X$,1168011099382403,1168 0110 9938 2403
JJ<(XJJX<C<V<CPX,1168011067696750,1168 0110 6769 6750
JJ<(XJJJ0PPX$PC<,1168011125503576,1168 0111 2550 3576
JJ<(XJJJXP''P0V$,1168011105445293,1168 0111 0544 5293
JJ<(XJJXVV<('0J0,1168011099684212,1168 0110 9968 4212
JJ<(XJJJX0CJCJC$,1168011102717173,1168 0111 0271 7173
JJ<(XJJJJJXXC0'',1168011111007244,1168 0111 1100 7244
JJ<(XJJJ$''X$<(P,1168011134403685,1168 0111 3440 3685
JJ<(XJJXJ(J(<'(V,1168011018186489,1168 0110 1818 6489
JJ<(XJJXC''XXX$X,1168011074400030,1168 0110 7440 0030
JJ<(XJJJX'$VJ<XP,1168011104391605,1168 0111 0439 1605
JJ<(XJJJJ$$<<<X<,1168011113366606,1168 0111 1336 6606
JJ<(XJJX(J0XP<J0,1168011081205612,1168 0110 8120 5612
JJ<(XJJXVPPCJ<P0,1168011095571652,1168 0110 9557 1652
JJ<(XJJXC0$<VPXX,1168011072369500,1168 0110 7236 9500
JJ<(XJJJJJJ<(0X0,1168011111168202,1168 0111 1116 8202
JJ<(XJJJJVPPCX<C,1168011119557067,1168 0111 1955 7067
JJ<(XJJJ$CXXC$JV,1168011137007319,1168 0111 3700 7319
JJ<(XJJXP'(($$0X,1168011054883320,1168 0110 5488 3320
JJ<(XJJX'$<(P<CV,1168011043685679,1168 0110 4368 5679
JJ<(XJJJJVV$V<P$,1168011119939653,1168 0111 1993 9653
JJ<(XJJJJVP(C<$P,1168011119587635,1168 0111 1958 7635
JJ<(XJJJX(0<X0JX,1168011108260210,1168 0111 0826 0210
JJ<(XJJX'PC0XVP$,1168011045720953,1168 0110 4572 0953
JJ<(XJJJJXJPPVV',1168011110155994,1168 0111 1015 5994
JJ<(XJJJX($PC0J',1168011108357214,1168 0111 0835 7214
JJ<(XJJX('P$J0'<,1168011084531246,1168 0110 8453 1246
JJ<(XJJJ0(C$00<$,1168011128732263,1168 0111 2873 2263
JJ<(XJJXVV(J'V<C,1168011099814967,1168 0110 9981 4967
JJ<(XJJJ$'J'('0J,1168011134148421,1168 0111 3414 8421
JJ<(XJJJJJ$(<XV$,1168011111386093,1168 0111 1138 6093
JJ<(XJJX$($'<'X0,1168011038346402,1168 0110 3834 6402
JJ<(XJJX<'$XVVX0,1168011064309902,1168 0110 6430 9902
JJ<(XJJXPXJP'0P',1168011050154254,1168 0110 5015 4254
JJ<(XJJJ0(CJ(CCP,1168011128718775,1168 0111 2871 8775
JJ<(XJJXC(J'XX(C,1168011078140087,1168 0110 7814 0087
JJ<(XJJJJC$0V0'<,1168011117329246,1168 0111 1732 9246
JJ<(XJJX'J0JV'(V,1168011041219489,1168 0110 4121 9489
JJ<(XJJX(XJ(C0VX,1168011080187290,1168 0110 8018 7290
JJ<(XJJJJ'($JVV<,1168011114831996,1168 0111 1483 1996
JJ<(XJJJXCJPP0$V,1168011107155239,1168 0111 0715 5239
JJ<(XJJXCJ$('$CC,1168011071384377,1168 0110 7138 4377
JJ<(XJJJXP(X'VJJ,1168011105804911,1168 0111 0580 4911
JJ<(XJJXVP$0J('$,1168011095321843,1168 0110 9532 1843
JJ<(XJJX<C(J0$J<,1168011067812316,1168 0110 6781 2316
JJ<(XJJJ0X0(VC$',1168011120289734,1168 0111 2028 9734
JJ<(XJJJ00XXJPC',1168011122001574,1168 0111 2200 1574
JJ<(XJJXC'$$$VXX,1168011074333900,1168 0110 7433 3900
JJ<(XJJJX00V<VV<,1168011102296996,1168 0111 0229 6996
JJ<(XJJX$P'$P<'<,1168011035435646,1168 0110 3543 5646
JJ<(XJJJJ'(<VX(C,1168011114869087,1168 0111 1486 9087
JJ<(XJJJX0X<V$X0,1168011102069302,1168 0111 0206 9302
JJ<(XJJX(CV<(VC$,1168011087968973,1168 0110 8796 8973
JJ<(XJJJ$JC'(V$',1168011131748934,1168 0111 3174 8934
JJ<(XJJXPJC<$JC(,1168011051763178,1168 0110 5176 3178
JJ<(XJJJXJ<V<V0$,1168011101696923,1168 0111 0169 6923
JJ<(XJJJ00V'0$J',1168011122942314,1168 0111 2294 2314
JJ<(XJJX<JV$PC<<,1168011061935766,1168 0110 6193 5766
JJ<(XJJJ0P<V(XP$,1168011125698053,1168 0111 2569 8053
JJ<(XJJX<C(C'0XV,1168011067874209,1168 0110 6787 4209
JJ<(XJJXVV0$(((<,1168011099238886,1168 0110 9923 8886
JJ<(XJJJ0P'C'P'C,1168011125474547,1168 0111 2547 4547
JJ<(XJJJ$'$XV0P',1168011134309254,1168 0111 3430 9254
JJ<(XJJJ$'X(PPC$,1168011134085573,1168 0111 3408 5573
JJ<(XJJJX'$JVJ'$,1168011104319143,1168 0111 0431 9143
JJ<(XJJX(<(VJPXC,1168011086891507,1168 0110 8689 1507
JJ<(XJJJJ<JJ00'C,1168011116112247,1168 0111 1611 2247
JJ<(XJJX<00X<<XP,1168011062206605,1168 0110 6220 6605
JJ<(XJJJ0P'JV''$,1168011125419443,1168 0111 2541 9443
JJ<(XJJXV<XJVPJJ,1168011096019511,1168 0110 9601 9511
JJ<(XJJXC'XCC$JC,1168011074077317,1168 0110 7407 7317
JJ<(XJJJJXJ$$X0P,1168011110133025,1168 0111 1013 3025
JJ<(XJJJJJJ((P(X,1168011111188580,1168 0111 1118 8580
JJ<(XJJJ0(<0V(X(,1168011128629808,1168 0111 2862 9808
JJ<(XJJXP$0C0$<(,1168011053272368,1168 0110 5327 2368
JJ<(XJJXC'$'C<0V,1168011074347629,1168 0110 7434 7629
JJ<(XJJJ00<P0CXC,1168011122652707,1168 0111 2265 2707
JJ<(XJJX<CC<XCXP,1168011067760705,1168 0110 6776 0705
JJ<(XJJX(CCC00V0,1168011087772292,1168 0110 8777 2292
JJ<(XJJJ0P<VV$(0,1168011125699382,1168 0111 2569 9382
JJ<(XJJJ00CX'(0J,1168011122704821,1168 0111 2270 4821
JJ<(XJJJJ<JJC$(<,1168011116117386,1168 0111 1611 7386
JJ<(XJJXV$0JJJC(,1168011093211178,1168 0110 9321 1178
JJ<(XJJJXPXXXJPP,1168011105000155,1168 0111 0500 0155
JJ<(XJJXCP<VCV$J,1168011075697931,1168 0110 7569 7931
JJ<(XJJJJJVJ<0'<,1168011111916246,1168 0111 1191 6246
JJ<(XJJJJ$J<V<J0,1168011113169612,1168 0111 1316 9612
JJ<(XJJJ$J0J'('<,1168011131214846,1168 0111 3121 4846
JJ<(XJJXP(J('<0<,1168011058184626,1168 0110 5818 4626
JJ<(XJJXCXX(X'00,1168011070080422,1168 0110 7008 0422
JJ<(XJJX'<$VCJC$,1168011046397173,1168 0110 4639 7173
JJ<(XJJXVPCXC$00,1168011095707322,1168 0110 9570 7322
JJ<(XJJX<PJPJ00X,1168011065151220,1168 0110 6515 1220
JJ<(XJJX<CVX'JP',1168011067904154,1168 0110 6790 4154
JJ<(XJJX0PVP000X,1168011025952220,1168 0110 2595 2220
JJ<(XJJJJC'JPJV$,1168011117415193,1168 0111 1741 5193
JJ<(XJJXVP$<VPX$,1168011095369503,1168 0110 9536 9503
JJ<(XJJX('JCCV'J,1168011084177941,1168 0110 8417 7941
JJ<(XJJXJJ<P(CPC,1168011011658757,1168 0110 1165 8757
JJ<(XJJJ0PC<P('P,1168011125765845,1168 0111 2576 5845
